/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/bin/java -agentlib:jdwp=transport=dt_socket,address=127.0.0.1:52049,suspend=y,server=n -Dvisualvm.id=83212002219288 -ea -Dvisualvm.id=83209855055819 -Didea.junit.sm_runner -Dfile.encoding=UTF-8 -classpath "/Applications/IntelliJ IDEA.app/Contents/lib/idea_rt.jar:/Applications/IntelliJ IDEA.app/Contents/plugins/junit/lib/junit-rt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/lib/ant-javafx.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/lib/dt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/lib/javafx-mx.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/lib/jconsole.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/lib/packager.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/lib/sa-jdi.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/lib/tools.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/charsets.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/deploy.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/javaws.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/jce.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/jfr.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/jfxswt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/jsse.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/management-agent.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/plugin.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/resources.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/rt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/cldrdata.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/dnsns.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/jfxrt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/localedata.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/nashorn.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/sunec.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/sunjce_provider.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/sunpkcs11.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/zipfs.jar:/Users/alex/GitHub/polygon-contains-point/target/test-classes:/Users/alex/GitHub/polygon-contains-point/target/classes:/Users/alex/.m2/repository/org/apache/commons/commons-lang3/3.3.2/commons-lang3-3.3.2.jar:/Users/alex/.m2/repository/commons-beanutils/commons-beanutils/1.9.2/commons-beanutils-1.9.2.jar:/Users/alex/.m2/repository/commons-logging/commons-logging/1.1.1/commons-logging-1.1.1.jar:/Users/alex/.m2/repository/commons-collections/commons-collections/3.2.1/commons-collections-3.2.1.jar:/Users/alex/.m2/repository/commons-io/commons-io/2.4/commons-io-2.4.jar:/Users/alex/.m2/repository/org/apache/commons/commons-compress/1.13/commons-compress-1.13.jar:/Users/alex/.m2/repository/com/google/guava/guava/21.0/guava-21.0.jar:/Users/alex/.m2/repository/com/google/code/gson/gson/2.2.2/gson-2.2.2.jar:/Users/alex/.m2/repository/net/sf/json-lib/json-lib/2.4/json-lib-2.4-jdk15.jar:/Users/alex/.m2/repository/commons-lang/commons-lang/2.5/commons-lang-2.5.jar:/Users/alex/.m2/repository/net/sf/ezmorph/ezmorph/1.0.6/ezmorph-1.0.6.jar:/Users/alex/.m2/repository/com/alibaba/fastjson/1.2.15/fastjson-1.2.15.jar:/Users/alex/.m2/repository/com/fasterxml/jackson/dataformat/jackson-dataformat-xml/2.4.3/jackson-dataformat-xml-2.4.3.jar:/Users/alex/.m2/repository/com/fasterxml/jackson/core/jackson-core/2.4.3/jackson-core-2.4.3.jar:/Users/alex/.m2/repository/com/fasterxml/jackson/core/jackson-annotations/2.4.0/jackson-annotations-2.4.0.jar:/Users/alex/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.3/jackson-databind-2.4.3.jar:/Users/alex/.m2/repository/com/fasterxml/jackson/module/jackson-module-jaxb-annotations/2.4.3/jackson-module-jaxb-annotations-2.4.3.jar:/Users/alex/.m2/repository/org/codehaus/woodstox/stax2-api/3.1.4/stax2-api-3.1.4.jar:/Users/alex/.m2/repository/org/apache/logging/log4j/log4j-slf4j-impl/2.3/log4j-slf4j-impl-2.3.jar:/Users/alex/.m2/repository/org/slf4j/slf4j-api/1.7.12/slf4j-api-1.7.12.jar:/Users/alex/.m2/repository/org/apache/logging/log4j/log4j-api/2.3/log4j-api-2.3.jar:/Users/alex/.m2/repository/org/apache/logging/log4j/log4j-core/2.3/log4j-core-2.3.jar:/Users/alex/.m2/repository/junit/junit/4.12/junit-4.12.jar:/Users/alex/.m2/repository/org/hamcrest/hamcrest-core/1.3/hamcrest-core-1.3.jar" com.intellij.rt.execution.junit.JUnitStarter -ideVersion5 com.logibeat.commons.geography.GeoUtilsPerfTest
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 403275ms, {policy='JDK'}, level=2, [1488261120799-1488261524074]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 411678ms, {policy='JDK'}, level=2, [1488261120799-1488261532477]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 404643ms, {policy='JDK'}, level=2, [1488261120799-1488261525442]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 412399ms, {policy='JDK'}, level=2, [1488261120800-1488261533199]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 421600ms, {policy='JDK'}, level=2, [1488261120803-1488261542403]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 404584ms, {policy='JDK'}, level=2, [1488261120804-1488261525388]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 403562ms, {policy='JDK'}, level=2, [1488261120805-1488261524367]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 403098ms, {policy='JDK'}, level=2, [1488261120805-1488261523903]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 399374ms, {policy='JDK'}, level=2, [1488261120805-1488261520179]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 414281ms, {policy='JDK'}, level=2, [1488261120805-1488261535086]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 400511ms, {policy='JDK'}, level=2, [1488261120806-1488261521317]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 413548ms, {policy='JDK'}, level=2, [1488261120810-1488261534358]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 421201ms, {policy='JDK'}, level=2, [1488261120810-1488261542011]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 408045ms, {policy='JDK'}, level=2, [1488261120812-1488261528857]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 409772ms, {policy='JDK'}, level=2, [1488261120813-1488261530585]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 402354ms, {policy='JDK'}, level=2, [1488261120814-1488261523168]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 413923ms, {policy='JDK'}, level=2, [1488261120816-1488261534739]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 408504ms, {policy='JDK'}, level=2, [1488261120817-1488261529321]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 408326ms, {policy='JDK'}, level=2, [1488261120818-1488261529144]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 405883ms, {policy='JDK'}, level=2, [1488261120820-1488261526703]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 400338ms, {policy='JDK'}, level=2, [1488261120822-1488261521160]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 409494ms, {policy='JDK'}, level=2, [1488261120823-1488261530317]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 410071ms, {policy='JDK'}, level=2, [1488261120824-1488261530895]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 397991ms, {policy='JDK'}, level=2, [1488261120826-1488261518817]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 408760ms, {policy='JDK'}, level=2, [1488261120827-1488261529587]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 409319ms, {policy='JDK'}, level=2, [1488261120828-1488261530147]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 414709ms, {policy='JDK'}, level=2, [1488261120829-1488261535538]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 398845ms, {policy='JDK'}, level=2, [1488261120831-1488261519676]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 415240ms, {policy='JDK'}, level=2, [1488261120831-1488261536071]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 392093ms, {policy='JDK'}, level=2, [1488261120833-1488261512926]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 408540ms, {policy='JDK'}, level=2, [1488261120834-1488261529374]
2017-02-28 14:16:52 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 1451640ms, {policy='SROMKU'}, level=2, [1488261161077-1488262612717]
2017-02-28 14:16:52 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 1443472ms, {policy='SROMKU'}, level=2, [1488261161130-1488262604602]
